sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
12-1-100	379712	365340	96.22	364602	360530	94.95
16-1-10	0	0	0	0	0	0
18-1-100	702406	673280	95.85	670260	626707	89.22
2-1-100	787110	758070	96.31	755787	725347	92.15
21-1-100	639222	589921	92.29	588714	572769	89.6
23-1-100	381712	308453	80.81	307636	304567	79.79
24-1-100	620555	585348	94.33	584233	573910	92.48
26-1-100	480136	461956	96.21	460968	454209	94.6
28-1-100	361536	342036	94.61	341330	337765	93.42
29-1-100	207689	200294	96.44	200041	196438	94.58
3-1-100	849076	805993	94.93	796439	777617	91.58
32-1-100	333036	320189	96.14	319822	311929	93.66
40-100	183839	145166	78.96	144820	141333	76.88
AIR-EW	145691	127053	87.21	126872	124566	85.5
AIR-TK	475848	414601	87.13	414028	409386	86.03
AIR-VP	384385	358756	93.33	358244	354972	92.35
NTC	3027	2895	95.64	2895	2895	95.64
PAC	1224309	1186803	96.94	1182209	1004627	82.06
WLW-EW	320548	306192	95.52	305620	301613	94.09
WLW-TK	1392439	1331376	95.61	1324745	1262341	90.66
WLW-VP	712385	600610	84.31	598371	588337	82.59
XB	17719	17202	97.08	17176	17176	96.94
